Fri Apr 17 16:38:59 2026    docs\perf\flamegraph-hotspots-latest.cprofile.prof

         2611694 function calls (2565435 primitive calls) in 48.470 seconds

   Ordered by: cumulative time
   List reduced from 8117 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.812    2.812 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\numpy\f2py\__init__.py:1(<module>)
        1    0.000    0.000    2.809    2.809 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\numpy\f2py\f2py2e.py:1(<module>)
        1    0.000    0.000    2.708    2.708 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\cbook.py:1(<module>)
        1    0.001    0.001    2.696    2.696 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\numpy\__init__.py:1(<module>)
        1    0.000    0.000    2.637    2.637 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\axes\__init__.py:1(<module>)
        1    0.000    0.000    2.626    2.626 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\pandas\core\groupby\__init__.py:1(<module>)
        1    0.000    0.000    2.608    2.608 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\numpy\f2py\capi_maps.py:1(<module>)
        1    0.001    0.001    2.595    2.595 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\numpy\f2py\crackfortran.py:1(<module>)
        1    0.000    0.000    2.583    2.583 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\pandas\core\groupby\generic.py:1(<module>)
      106    0.012    0.000    2.286    0.022 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\artist.py:158(_update_set_signature_and_docstring)
        1    0.000    0.000    2.274    2.274 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\charset_normalizer\__init__.py:1(<module>)
      105    0.001    0.000    2.252    0.021 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\artist.py:125(__init_subclass__)
       32    0.000    0.000    2.234    0.070 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\__init__.py:141(__getattr__)
        1    0.001    0.001    2.155    2.155 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\charset_normalizer\api.py:1(<module>)
        1    0.001    0.001    2.126    2.126 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\customtkinter\__init__.py:1(<module>)
        1    0.000    0.000    2.122    2.122 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\customtkinter\windows\__init__.py:1(<module>)
        1    0.000    0.000    2.122    2.122 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\pandas\core\frame.py:1(<module>)
        1    0.000    0.000    2.041    2.041 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\image.py:1(<module>)
        1    0.000    0.000    2.023    2.023 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\customtkinter\windows\ctk_tk.py:1(<module>)
        1    0.000    0.000    2.014    2.014 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\stats\distributions.py:1(<module>)
       98    0.001    0.000    2.000    0.020 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\charset_normalizer\utils.py:265(is_multi_byte_encoding)
        1    0.000    0.000    1.953    1.953 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\backend_bases.py:1(<module>)
        1    0.000    0.000    1.945    1.945 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\customtkinter\windows\widgets\__init__.py:1(<module>)
        1    0.000    0.000    1.913    1.913 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\axes\_axes.py:1(<module>)
     1640    0.031    0.000    1.885    0.001 <frozen importlib._bootstrap>:1243(_find_spec)
        1    0.000    0.000    1.804    1.804 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\customtkinter\windows\widgets\ctk_button.py:1(<module>)
     1607    0.004    0.000    1.785    0.001 <frozen importlib._bootstrap_external>:1287(find_spec)
     1607    0.051    0.000    1.781    0.001 <frozen importlib._bootstrap_external>:1258(_get_spec)
        1    0.000    0.000    1.773    1.773 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\optimize\_linprog.py:1(<module>)
        1    0.001    0.001    1.676    1.676 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\rcsetup.py:1(<module>)
      120    0.002    0.000    1.614    0.013 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\artist.py:1832(kwdoc)
        2    0.000    0.000    1.589    0.795 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\platform.py:464(win32_ver)
        2    0.000    0.000    1.589    0.794 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\platform.py:405(_win32_ver)
     2074    0.162    0.000    1.573    0.001 <frozen importlib._bootstrap_external>:1360(find_spec)


