import time: self [us] | cumulative | imported package
import time:      2599 |       3927 |       fontTools.ttLib.tables._h_e_a_d
import time:     45820 |    3978090 |     fontTools.subset
import time:     44362 |    4069357 |   matplotlib.backends._backend_pdf_ps
import time:     84621 |    4230619 | matplotlib.backends.backend_pdf
import time:      2221 |       2221 |     pytz.exceptions
import time:      1605 |       1605 |     pytz.lazy
import time:      1882 |       1882 |     pytz.tzinfo
import time:     24109 |      24109 |     pytz.tzfile
import time:     81157 |     110971 |   pytz
import time:     25851 |      25851 |     pandas.compat._constants
import time:     32019 |      32019 |     pandas.compat.compressors
import time:     52543 |      52543 |         pandas.util
import time:     61475 |     114017 |       pandas.util.version
import time:      3869 |     117886 |     pandas.compat.numpy
import time:       834 |        834 |       pyarrow
import time:      4099 |       4932 |     pandas.compat.pyarrow
import time:     11360 |     192047 |   pandas.compat
import time:      2413 |       2413 |               numpy.random._common
import time:       214 |        214 |                   _hmac
import time:      1701 |       1915 |                 hmac
import time:      1183 |       3098 |               secrets
import time:     31673 |      37183 |             numpy.random.bit_generator
import time:     21408 |      58590 |           numpy.random._bounded_integers
import time:     54318 |      54318 |               numpy.random._pcg64
import time:      1651 |       1651 |               numpy.random._mt19937
import time:      4037 |      60005 |             numpy.random._generator
import time:      2426 |       2426 |             numpy.random._philox
import time:      1126 |       1126 |             numpy.random._sfc64
import time:     32550 |      32550 |             numpy.random.mtrand
import time:     40509 |     136614 |           numpy.random._pickle
import time:     25921 |     221124 |         numpy.random
import time:     78886 |     300009 |       pandas._typing
import time:     50594 |      50594 |       pandas.util._exceptions
import time:     58032 |     408635 |     pandas._config.config
import time:      1593 |       1593 |     pandas._config.dates
import time:     27925 |      27925 |     pandas._config.display
import time:     30990 |     469142 |   pandas._config
import time:     22815 |      22815 |     pandas.core
import time:     49778 |      72592 |   pandas.core.config_init
import time:      2663 |       2663 |       pandas._libs.pandas_parser
import time:     29459 |      29459 |       pandas._libs.pandas_datetime
import time:     27609 |      27609 |                   pandas._libs.tslibs.ccalendar
import time:     25224 |      25224 |                   pandas._libs.tslibs.np_datetime
import time:     26214 |      79046 |                 pandas._libs.tslibs.dtypes
import time:     31632 |      31632 |                   pandas._libs.tslibs.base
import time:     44545 |      44545 |                       pandas._libs.tslibs.nattype
import time:      1463 |       1463 |                           pandas.compat._optional
import time:      1511 |       1511 |                             zoneinfo._tzpath
import time:      2077 |       2077 |                             zoneinfo._common
import time:      2520 |       2520 |                             _zoneinfo
import time:      5920 |      12026 |                           zoneinfo
import time:     24017 |      37505 |                         pandas._libs.tslibs.timezones
import time:     34090 |      34090 |                           _strptime
import time:     60625 |      60625 |                           pandas._config.localization
import time:      2012 |      96726 |                         pandas._libs.tslibs.fields
import time:      5474 |     139704 |                       pandas._libs.tslibs.timedeltas
import time:      1818 |       1818 |                       pandas._libs.tslibs.tzconversion
import time:     25476 |     211543 |                     pandas._libs.tslibs.timestamps
import time:      1081 |       1081 |                     pandas._libs.properties
import time:     25096 |     237720 |                   pandas._libs.tslibs.offsets
import time:      8766 |       8766 |                     pandas._libs.tslibs.strptime
import time:     30322 |      39088 |                   pandas._libs.tslibs.parsing
import time:     28463 |     336901 |                 pandas._libs.tslibs.conversion
import time:     39339 |      39339 |                 pandas._libs.tslibs.period
import time:     35262 |      35262 |                 pandas._libs.tslibs.vectorized
import time:     32208 |     522754 |               pandas._libs.tslibs
import time:       103 |     522857 |             pandas._libs.tslibs.nattype
import time:     24352 |      24352 |             pandas._libs.ops_dispatch
import time:     31351 |     578559 |           pandas._libs.missing
import time:     29630 |     608188 |         pandas._libs.hashtable
import time:     38864 |      38864 |         pandas._libs.algos
import time:     29277 |     676328 |       pandas._libs.interval
import time:     55827 |     764276 |     pandas._libs
import time:     28823 |      28823 |       pandas.core.dtypes
import time:       951 |        951 |         pyarrow
import time:     34153 |      35104 |       pandas._libs.lib
import time:    166684 |     166684 |       pandas.errors
import time:     24679 |      24679 |         pandas.core.dtypes.generic
import time:     64905 |      89584 |       pandas.core.dtypes.base
import time:      1681 |       1681 |       pandas.core.dtypes.inference
import time:     35585 |     357458 |     pandas.core.dtypes.dtypes
import time:     30165 |      30165 |       pandas.core.dtypes.common
import time:     43081 |      73246 |     pandas.core.dtypes.missing
import time:     98503 |      98503 |       pandas.util._decorators
import time:     56970 |      56970 |           pandas.io
import time:     53937 |     110907 |         pandas.io._util
import time:     28268 |     139175 |       pandas.core.dtypes.cast
import time:      1749 |       1749 |         pandas.core.dtypes.astype
import time:      1896 |       3645 |       pandas.core.dtypes.concat
import time:      4100 |       4100 |         pandas.core.array_algos
import time:      4720 |       4720 |           pandas.core.common
import time:      1571 |       6291 |         pandas.core.construction
import time:     54831 |      65221 |       pandas.core.array_algos.take
import time:     62885 |      62885 |         pandas.core.indexers.utils
import time:     55215 |     118100 |       pandas.core.indexers
import time:     67907 |     492548 |     pandas.core.algorithms
import time:     13539 |      13539 |         pandas.core.arrays.arrow.accessors
import time:    105320 |     105320 |           pandas.util._validators
import time:      2088 |       2088 |           pandas.core.missing
import time:      3021 |       3021 |               pandas._libs.ops
import time:     34485 |      34485 |               pandas.core.roperator
import time:      1379 |       1379 |               pandas.core.computation
import time:      1660 |       1660 |                 pandas.core.computation.check
import time:      1696 |       3355 |               pandas.core.computation.expressions
import time:    111855 |     111855 |               pandas.core.ops.missing
import time:      3197 |       3197 |               pandas.core.ops.dispatch
import time:     43017 |      43017 |               pandas.core.ops.invalid
import time:     97957 |     298264 |             pandas.core.ops.array_ops
import time:     91299 |      91299 |             pandas.core.ops.common
import time:      2580 |       2580 |             pandas.core.ops.docstrings
import time:     76061 |      76061 |             pandas.core.ops.mask_ops
import time:      2346 |     470548 |           pandas.core.ops
import time:      1939 |       1939 |           pandas.core.arraylike
import time:      1712 |       1712 |           pandas.core.arrays._arrow_string_mixins
import time:    113364 |     113364 |           pandas.core.arrays._utils
import time:      2753 |       2753 |             pandas.compat.numpy.function
import time:    164333 |     164333 |             pandas.core.array_algos.quantile
import time:     30570 |      30570 |             pandas.core.sorting
import time:      3454 |     201109 |           pandas.core.arrays.base
import time:     33430 |      33430 |             pandas.core.nanops
import time:      1750 |       1750 |             pandas.core.array_algos.masked_accumulations
import time:     28104 |      28104 |             pandas.core.array_algos.masked_reductions
import time:      1672 |       1672 |               pandas.core.util
import time:     26902 |      26902 |               pandas._libs.hashing
import time:      3547 |      32119 |             pandas.core.util.hashing
import time:      4608 |     100009 |           pandas.core.arrays.masked
import time:     10386 |      10386 |             pandas._libs.arrays
import time:      1961 |       1961 |               pandas.core.arrays.numeric
import time:     58988 |      60949 |             pandas.core.arrays.floating
import time:      1965 |       1965 |             pandas.core.arrays.integer
import time:      1504 |       1504 |                 pandas.core.array_algos.transforms
import time:     40202 |      41705 |               pandas.core.arrays._mixins
import time:     50130 |      50130 |                 pandas.core.strings
import time:      1795 |       1795 |                 pandas.core.strings.base
import time:      3230 |      55153 |               pandas.core.strings.object_array
import time:      2383 |      99241 |             pandas.core.arrays.numpy_
import time:     52844 |      52844 |             pandas.io.formats
import time:       976 |        976 |               pandas.io.formats.console
import time:      2059 |       3035 |             pandas.io.formats.printing
import time:      3127 |     231544 |           pandas.core.arrays.string_
import time:      1082 |       1082 |             pandas.tseries
import time:      2310 |       3392 |           pandas.tseries.frequencies
import time:     72689 |    1303710 |         pandas.core.arrays.arrow.array
import time:     38312 |    1355559 |       pandas.core.arrays.arrow
import time:      8137 |       8137 |       pandas.core.arrays.boolean
import time:       211 |        211 |           _csv
import time:      1695 |       1906 |         csv
import time:     50661 |      50661 |         pandas.core.accessor
import time:     55444 |      55444 |         pandas.core.base
import time:      4250 |     112259 |       pandas.core.arrays.categorical
import time:      2761 |       2761 |         pandas._libs.tslib
import time:      1539 |       1539 |           pandas.core.array_algos.datetimelike_accumulations
import time:    105085 |     106624 |         pandas.core.arrays.datetimelike
import time:     58232 |      58232 |         pandas.core.arrays._ranges
import time:     31596 |      31596 |         pandas.tseries.offsets
import time:      6701 |     205912 |       pandas.core.arrays.datetimes
import time:     52433 |      52433 |         pandas.core.arrays.timedeltas
import time:     59115 |     111548 |       pandas.core.arrays.interval
import time:      7791 |       7791 |       pandas.core.arrays.period
import time:      2084 |       2084 |             pandas._libs.sparse
import time:      3218 |       5302 |           pandas.core.arrays.sparse.array
import time:     22097 |      27398 |         pandas.core.arrays.sparse.accessor
import time:     65124 |      92522 |       pandas.core.arrays.sparse
import time:     34324 |      34324 |       pandas.core.arrays.string_arrow
import time:     87950 |    2015997 |     pandas.core.arrays
import time:     44877 |      44877 |     pandas.core.flags
import time:      3055 |       3055 |           pandas._libs.internals
import time:     27759 |      27759 |             pandas.core._numba
import time:     34577 |      62335 |           pandas.core._numba.executor
import time:     39145 |     104534 |         pandas.core.apply
import time:     24945 |      24945 |               pandas._libs.indexing
import time:     25360 |      25360 |                 pandas.core.indexes
import time:      3195 |       3195 |                   pandas._libs.index
import time:     33552 |      33552 |                   pandas._libs.writers
import time:      4066 |       4066 |                   pandas._libs.join
import time:     79932 |      79932 |                   pandas.core.array_algos.putmask
import time:      1353 |       1353 |                   pandas.core.indexes.frozen
import time:      7786 |       7786 |                   pandas.core.strings.accessor
import time:     61361 |     191243 |                 pandas.core.indexes.base
import time:     66625 |      66625 |                   pandas.core.indexes.extension
import time:     46810 |     113435 |                 pandas.core.indexes.category
import time:     96434 |      96434 |                     pandas.core.indexes.range
import time:     44719 |      44719 |                       pandas.core.tools
import time:      2916 |      47635 |                     pandas.core.tools.timedeltas
import time:     46593 |     190660 |                   pandas.core.indexes.datetimelike
import time:     64473 |      64473 |                   pandas.core.tools.times
import time:     57899 |     313031 |                 pandas.core.indexes.datetimes
import time:     94869 |      94869 |                   pandas.core.indexes.multi
import time:     71213 |      71213 |                   pandas.core.indexes.timedeltas
import time:    106736 |     272817 |                 pandas.core.indexes.interval
import time:     38445 |      38445 |                 pandas.core.indexes.period
import time:      3955 |     958284 |               pandas.core.indexes.api
import time:     27484 |    1010712 |             pandas.core.indexing
import time:     69678 |      69678 |             pandas.core.sample
import time:     34528 |      34528 |             pandas.core.array_algos.replace
import time:      5860 |       5860 |                 pandas.core.internals.blocks
import time:     87943 |      93802 |               pandas.core.internals.api
import time:     29286 |      29286 |                 pandas.core.internals.base
import time:      2475 |       2475 |                   pandas.core.internals.ops
import time:      4136 |       6610 |                 pandas.core.internals.managers
import time:     44488 |      80383 |               pandas.core.internals.array_manager
import time:      1968 |       1968 |               pandas.core.internals.concat
import time:     79093 |     255245 |             pandas.core.internals
import time:      3254 |       3254 |             pandas.core.internals.construction
import time:     21353 |      21353 |               pandas.core.methods
import time:     32673 |      32673 |                 pandas.core.reshape
import time:     37466 |      70139 |               pandas.core.reshape.concat
import time:       567 |        567 |                   mmap
import time:       700 |        700 |                     pwd
import time:       643 |        643 |                     grp
import time:      3901 |       5242 |                   tarfile
import time:      1697 |       1697 |                   pandas.core.shared_docs
import time:     67655 |      75160 |                 pandas.io.common
import time:     26465 |     101624 |               pandas.io.formats.format
import time:      2738 |     195854 |             pandas.core.methods.describe
import time:      4246 |       4246 |                   pandas._libs.window
import time:     28765 |      33010 |                 pandas._libs.window.aggregations
import time:     34491 |      34491 |                   pandas._libs.window.indexers
import time:     80681 |     115171 |                 pandas.core.indexers.objects
import time:      1414 |       1414 |                 pandas.core.util.numba_
import time:      1371 |       1371 |                 pandas.core.window.common
import time:     23138 |      23138 |                 pandas.core.window.doc
import time:     42635 |      42635 |                 pandas.core.window.numba_
import time:      1960 |       1960 |                 pandas.core.window.online
import time:     33677 |      33677 |                 pandas.core.window.rolling
import time:     87405 |     339777 |               pandas.core.window.ewm
import time:     37130 |      37130 |               pandas.core.window.expanding
import time:      1949 |     378854 |             pandas.core.window
import time:     87901 |    2036023 |           pandas.core.generic
import time:      2719 |       2719 |           pandas.core.methods.selectn
import time:      1811 |       1811 |             pandas.core.reshape.util
import time:     52450 |      52450 |             pandas.core.tools.numeric
import time:      2171 |      56432 |           pandas.core.reshape.melt
import time:     29053 |      29053 |             pandas._libs.reshape
import time:      3930 |       3930 |             pandas.core.indexes.accessors
import time:     58970 |      58970 |               pandas.arrays
import time:     85500 |     144469 |             pandas.core.tools.datetimes
import time:     89544 |      89544 |             pandas.io.formats.info
import time:      3247 |       3247 |               pandas.plotting._core
import time:      2201 |       2201 |               pandas.plotting._misc
import time:     28905 |      34353 |             pandas.plotting
import time:     33138 |     334484 |           pandas.core.series
import time:     52391 |    2482047 |         pandas.core.frame
import time:     54951 |      54951 |         pandas.core.groupby.base
import time:     36083 |      36083 |           pandas._libs.groupby
import time:     18907 |      18907 |             pandas.core.groupby.categorical
import time:     61820 |      80727 |           pandas.core.groupby.grouper
import time:     59315 |     176123 |         pandas.core.groupby.ops
import time:     25968 |      25968 |           pandas.core.groupby.numba_
import time:     29619 |      29619 |           pandas.core.groupby.indexing
import time:     40878 |      96464 |         pandas.core.groupby.groupby
import time:      7257 |    2921375 |       pandas.core.groupby.generic
import time:     61740 |    2983114 |     pandas.core.groupby
import time:      2585 |    6734099 |   pandas.core.api
import time:     56183 |      56183 |   pandas.tseries.api
import time:     55286 |      55286 |           pandas.core.computation.common
import time:     48867 |     104153 |         pandas.core.computation.align
import time:     56136 |      56136 |           pandas.core.computation.scope
import time:     29757 |      85892 |         pandas.core.computation.ops
import time:     59783 |     249827 |       pandas.core.computation.engines
import time:      7480 |       7480 |         pandas.core.computation.parsing
import time:     50323 |      57802 |       pandas.core.computation.expr
import time:     28176 |     335805 |     pandas.core.computation.eval
import time:     52905 |     388709 |   pandas.core.computation.api
import time:      4302 |       4302 |     pandas.core.reshape.encoding
import time:     24427 |      24427 |     pandas.core.reshape.merge
import time:      1862 |       1862 |     pandas.core.reshape.pivot
import time:      5496 |       5496 |     pandas.core.reshape.tile
import time:     23742 |      59827 |   pandas.core.reshape.api
import time:     31261 |      31261 |     pandas.api.extensions
import time:     61116 |      61116 |     pandas.api.indexers
import time:     80390 |      80390 |         pandas.core.interchange
import time:     64995 |     145384 |       pandas.core.interchange.dataframe_protocol
import time:     58515 |      58515 |         pandas.core.interchange.utils
import time:    114707 |     173222 |       pandas.core.interchange.from_dataframe
import time:     81930 |     400535 |     pandas.api.interchange
import time:     32298 |      32298 |       pandas.core.dtypes.api
import time:     53956 |      86254 |     pandas.api.types
import time:     32402 |      32402 |       pandas.core.resample
import time:      1102 |       1102 |             pandas._libs.json
import time:      1268 |       1268 |             pandas.io.json._normalize
import time:      4812 |       4812 |             pandas.io.json._table_schema
import time:      2920 |       2920 |                   pandas._libs.parsers
import time:      2481 |       2481 |                     pandas.io.parsers.base_parser
import time:     60187 |      62667 |                   pandas.io.parsers.arrow_parser_wrapper
import time:      1334 |       1334 |                   pandas.io.parsers.c_parser_wrapper
import time:     32933 |      32933 |                   pandas.io.parsers.python_parser
import time:     37868 |     137720 |                 pandas.io.parsers.readers
import time:     60694 |     198414 |               pandas.io.parsers
import time:        87 |     198500 |             pandas.io.parsers.readers
import time:      3244 |     208925 |           pandas.io.json._json
import time:     30863 |     239788 |         pandas.io.json
import time:        87 |     239874 |       pandas.io.json._json
import time:      9005 |       9005 |       pandas.io.stata
import time:     33418 |     314697 |     pandas.api.typing
import time:     64448 |     958309 |   pandas.api
import time:     22817 |      22817 |         pandas._testing.contexts
import time:     57266 |      80083 |       pandas._testing._io
import time:     27356 |      27356 |       pandas._testing._warnings
import time:       152 |        152 |           cmath
import time:     31313 |      31465 |         pandas._libs.testing
import time:      2175 |      33639 |       pandas._testing.asserters
import time:     29559 |      29559 |       pandas._testing.compat
import time:     61467 |     232102 |     pandas._testing
import time:     29177 |     261279 |   pandas.testing
import time:      1440 |       1440 |   pandas.util._print_versions
import time:      1266 |       1266 |     pandas.io.clipboards
import time:      1450 |       1450 |         pandas.io.excel._util
import time:     66763 |      66763 |         pandas.io.excel._calamine
import time:     37089 |      37089 |         pandas.io.excel._odfreader
import time:     26268 |      26268 |         pandas.io.excel._openpyxl
import time:      4604 |       4604 |         pandas.io.excel._pyxlsb
import time:      1926 |       1926 |         pandas.io.excel._xlrd
import time:     13700 |     151797 |       pandas.io.excel._base
import time:    118125 |     118125 |       pandas.io.excel._odswriter
import time:     49423 |      49423 |       pandas.io.excel._xlsxwriter
import time:     33864 |     353208 |     pandas.io.excel
import time:     31037 |      31037 |     pandas.io.feather_format
import time:      1261 |       1261 |     pandas.io.gbq
import time:      2054 |       2054 |     pandas.io.html
import time:      2002 |       2002 |     pandas.io.orc
import time:      1914 |       1914 |     pandas.io.parquet
import time:      1297 |       1297 |       pandas.compat.pickle_compat
import time:      1327 |       2623 |     pandas.io.pickle
import time:     53626 |      53626 |       pandas.core.computation.pytables
import time:     59898 |     113524 |     pandas.io.pytables
import time:     30536 |      30536 |       pandas.io.sas.sasreader
import time:     27892 |      58427 |     pandas.io.sas
import time:      1494 |       1494 |     pandas.io.spss
import time:      3031 |       3031 |     pandas.io.sql
import time:     33193 |      33193 |     pandas.io.xml
import time:      1610 |     606639 |   pandas.io.api
import time:      1921 |       1921 |   pandas.util._tester
import time:     53441 |      53441 |   pandas._version_meson
import time:     31845 |    9998437 | pandas
import time:       852 |        852 |   tkinter.dialog
import time:       738 |        738 |   tkinter.commondialog
import time:       832 |        832 |     tkinter.messagebox
import time:      1316 |       2148 |   tkinter.simpledialog
import time:      1943 |       5679 | tkinter.filedialog
import time:       821 |        821 | tkinter.scrolledtext
import time:       694 |        694 | tkinter.colorchooser
import time:      2057 |       2057 |                   customtkinter.windows.widgets.core_rendering.ctk_canvas
import time:      1895 |       1895 |                   customtkinter.windows.widgets.core_rendering.draw_engine
import time:      2276 |       6226 |                 customtkinter.windows.widgets.core_rendering
import time:      1546 |       1546 |                   customtkinter.windows.widgets.theme.theme_manager
import time:      1893 |       3439 |                 customtkinter.windows.widgets.theme
import time:      1636 |       1636 |                         tkinter.font
import time:      2667 |       4303 |                       customtkinter.windows.widgets.font.ctk_font
import time:     50407 |      50407 |                       customtkinter.windows.widgets.font.font_manager
import time:     51518 |     106227 |                     customtkinter.windows.widgets.font
import time:      2028 |       2028 |                             darkdetect._windows_detect
import time:   1655450 |    1657478 |                           darkdetect
import time:     52498 |    1709975 |                         customtkinter.windows.widgets.appearance_mode.appearance_mode_tracker
import time:     41637 |    1751612 |                       customtkinter.windows.widgets.appearance_mode.appearance_mode_base_class
import time:     39823 |    1791434 |                     customtkinter.windows.widgets.appearance_mode
import time:      1394 |       1394 |                         customtkinter.windows.widgets.scaling.scaling_tracker
import time:      2441 |       3834 |                       customtkinter.windows.widgets.scaling.scaling_base_class
import time:      1931 |       5765 |                     customtkinter.windows.widgets.scaling
import time:     50399 |    1953824 |                   customtkinter.windows.widgets.core_widget_classes.dropdown_menu
import time:      1455 |       1455 |                         PIL.ImageTk
import time:      1870 |       3324 |                       customtkinter.windows.widgets.image.ctk_image
import time:      1114 |       4438 |                     customtkinter.windows.widgets.image
import time:      1442 |       1442 |                       customtkinter.windows.widgets.utility.utility_functions
import time:      1352 |       2794 |                     customtkinter.windows.widgets.utility
import time:      1768 |       8999 |                   customtkinter.windows.widgets.core_widget_classes.ctk_base_class
import time:      1201 |    1964023 |                 customtkinter.windows.widgets.core_widget_classes
import time:     51371 |    2025058 |               customtkinter.windows.widgets.ctk_button
import time:      1515 |       1515 |               customtkinter.windows.widgets.ctk_checkbox
import time:      1900 |       1900 |               customtkinter.windows.widgets.ctk_combobox
import time:      2132 |       2132 |               customtkinter.windows.widgets.ctk_entry
import time:      1672 |       1672 |               customtkinter.windows.widgets.ctk_frame
import time:      1529 |       1529 |               customtkinter.windows.widgets.ctk_label
import time:      1571 |       1571 |               customtkinter.windows.widgets.ctk_optionmenu
import time:      1716 |       1716 |               customtkinter.windows.widgets.ctk_progressbar
import time:      1980 |       1980 |               customtkinter.windows.widgets.ctk_radiobutton
import time:      1619 |       1619 |               customtkinter.windows.widgets.ctk_scrollbar
import time:      2466 |       2466 |               customtkinter.windows.widgets.ctk_segmented_button
import time:      2135 |       2135 |               customtkinter.windows.widgets.ctk_slider
import time:     96286 |      96286 |               customtkinter.windows.widgets.ctk_switch
import time:      2606 |       2606 |               customtkinter.windows.widgets.ctk_tabview
import time:     71923 |      71923 |               customtkinter.windows.widgets.ctk_textbox
import time:      1923 |       1923 |               customtkinter.windows.widgets.ctk_scrollable_frame
import time:    118085 |    2336111 |             customtkinter.windows.widgets
import time:       108 |    2336218 |           customtkinter.windows.widgets.theme
import time:     80692 |    2416910 |         customtkinter.windows.ctk_tk
import time:      1902 |       1902 |         customtkinter.windows.ctk_toplevel
import time:      1734 |       1734 |         customtkinter.windows.ctk_input_dialog
import time:     62029 |    2482574 |       customtkinter.windows
import time:        87 |    2482661 |     customtkinter.windows.widgets
import time:       107 |    2482768 |   customtkinter.windows.widgets.appearance_mode
import time:     75391 |    2558158 | customtkinter
import time:      1195 |       1195 |   concurrent
import time:      2604 |       2604 |   concurrent.futures._base
import time:       279 |        279 |   _interpreters
import time:     33000 |      37077 | concurrent.futures
import time:      1625 |       1625 | concurrent.futures.thread
import time:     41233 |      41233 |     matplotlib.backends._tkagg
import time:      4819 |      46052 |   matplotlib.backends._backend_tk
import time:     56578 |     102630 | matplotlib.backends.backend_tkagg
import time:      1274 |       1274 |       quopri
import time:      2092 |       2092 |         email._parseaddr
import time:      1976 |       4067 |       email.utils
import time:      1872 |       1872 |       email.errors
import time:      3647 |       3647 |           email.quoprimime
import time:      1300 |       1300 |           email.base64mime
import time:       917 |        917 |             email.encoders
import time:      1765 |       2682 |           email.charset
import time:     66600 |      74227 |         email.header
import time:      1473 |      75700 |       email._policybase
import time:     31738 |      31738 |       email._encoded_words
import time:      1019 |       1019 |       email.iterators
import time:     34616 |     150283 |     email.message
import time:      1014 |       1014 |     importlib.metadata._text
import time:      1257 |     152553 |   importlib.metadata._adapters
import time:      2244 |       2244 |     email.feedparser
import time:      2258 |       4502 |   email.parser
import time:     77125 |      77125 |     mplcursors._pick_info
import time:     61027 |     138152 |   mplcursors._mplcursors
import time:     69864 |     365069 | mplcursors
import time:     48750 |      48750 |   solubility_models.base
import time:      5771 |       5771 |   solubility_models.aqion_closed_system
import time:      1356 |      55876 | solubility_models
import time:     16607 |      16607 | naoh_co2_pitzer_ph_model
import time:     54150 |      54150 |     scipy.__config__
import time:     42201 |      42201 |     scipy.version
import time:       349 |        349 |       scipy._distributor_init_local
import time:     50900 |      51248 |     scipy._distributor_init
import time:       742 |        742 |         cython
import time:      2790 |       3532 |       scipy._lib._testutils
import time:     22605 |      26137 |     scipy._lib
import time:      2123 |       2123 |     scipy._lib._pep440
import time:      3665 |       3665 |       scipy._lib._ccallback_c
import time:    120811 |     124475 |     scipy._lib._ccallback
import time:     31130 |     331461 |   scipy
import time:     90208 |      90208 |           scipy.linalg._fblas
import time:       301 |        301 |           scipy.linalg._cblas
import time:       203 |        203 |           scipy.linalg._fblas_64
import time:     59224 |     149934 |         scipy.linalg.blas
import time:     40362 |      40362 |           scipy.linalg._flapack
import time:       296 |        296 |           scipy.linalg._clapack
import time:       227 |        227 |           scipy.linalg._flapack_64
import time:      3769 |      44652 |         scipy.linalg.lapack
import time:     57620 |     252206 |       scipy.linalg._misc
import time:      1635 |       1635 |         scipy._cyutility
import time:      5063 |       5063 |         scipy.linalg.cython_lapack
import time:      1772 |       1772 |               numpy._typing._add_docstring
import time:      1912 |       3684 |             numpy.typing
import time:      5599 |       5599 |                   scipy._lib.array_api_compat.common._typing
import time:     53672 |      59271 |                 scipy._lib.array_api_compat.common._helpers
import time:     61993 |     121263 |               scipy._lib.array_api_compat.common
import time:      1126 |     122389 |             scipy._lib.array_api_compat
import time:      2673 |       2673 |                   numpy._core.strings
import time:     54568 |      54568 |                   numpy.strings
import time:      2245 |      59485 |                 numpy._core.defchararray
import time:      1667 |      61151 |               numpy.char
import time:     35099 |      35099 |                 numpy.f2py.diagnose
import time:     27083 |      27083 |                   numpy.f2py._backends
import time:     66574 |      66574 |                   numpy.f2py.__version__
import time:     31576 |      31576 |                     numpy.f2py.cfuncs
import time:     67096 |      98672 |                   numpy.f2py.auxfuncs
import time:    122644 |     122644 |                     numpy.f2py.cb_rules
import time:      1993 |       1993 |                     numpy.f2py._isocbind
import time:      1758 |       1758 |                       fileinput
import time:     43927 |      43927 |                             81d243bd2c585b0f4821__mypyc
import time:      5000 |       5000 |                             charset_normalizer.constant
import time:       175 |        175 |                               _multibytecodec
import time:    184080 |     184255 |                             charset_normalizer.utils
import time:     43321 |      43321 |                             charset_normalizer.models
import time:     56692 |     333193 |                           charset_normalizer.cd
import time:       196 |        196 |                           _codecs_tw
import time:       261 |        261 |                           _codecs_hk
import time:       219 |        219 |                           _codecs_jp
import time:       207 |        207 |                           _codecs_kr
import time:       291 |        291 |                           _codecs_cn
import time:       289 |        289 |                           _codecs_iso2022
import time:   2711296 |    3045949 |                         charset_normalizer.api
import time:     52721 |      52721 |                         charset_normalizer.legacy
import time:     55175 |      55175 |                         charset_normalizer.version
import time:     84573 |    3238416 |                       charset_normalizer
import time:     51423 |      51423 |                       numpy.f2py.symbolic
import time:    108646 |    3400242 |                     numpy.f2py.crackfortran
import time:     62317 |    3587194 |                   numpy.f2py.capi_maps
import time:     44376 |      44376 |                     numpy.f2py.func2subr
import time:     49079 |      93455 |                   numpy.f2py.f90mod_rules
import time:      1326 |       1326 |                     numpy.f2py.common_rules
import time:      1135 |       1135 |                     numpy.f2py.use_rules
import time:     38213 |      40673 |                   numpy.f2py.rules
import time:     39122 |    3952770 |                 numpy.f2py.f2py2e
import time:      1529 |    3989397 |               numpy.f2py
import time:      1015 |       1015 |                     unittest.util
import time:      1645 |       2660 |                   unittest.result
import time:      1837 |       1837 |                     difflib
import time:      2516 |       4353 |                   unittest.case
import time:      1117 |       1117 |                   unittest.suite
import time:      1935 |       1935 |                   unittest.loader
import time:       823 |        823 |                       unittest.signals
import time:      2568 |       3391 |                     unittest.runner
import time:      1158 |       4548 |                   unittest.main
import time:     22448 |      37058 |                 unittest
import time:      1669 |       1669 |                 numpy.testing._private
import time:     19787 |      19787 |                 numpy.testing.overrides
import time:      1731 |       1731 |                 numpy.testing._private.extbuild
import time:      4079 |       4079 |                 numpy.testing._private.utils
import time:      1884 |      66206 |               numpy.testing
import time:     52799 |      52799 |                 numpy.core._utils
import time:     23469 |      76268 |               numpy.core
import time:     62692 |      62692 |                   numpy.polynomial.polyutils
import time:     39498 |      39498 |                   numpy.polynomial._polybase
import time:     50992 |     153180 |                 numpy.polynomial.chebyshev
import time:     65666 |      65666 |                 numpy.polynomial.hermite
import time:      1929 |       1929 |                 numpy.polynomial.hermite_e
import time:     48907 |      48907 |                 numpy.polynomial.laguerre
import time:     50928 |      50928 |                 numpy.polynomial.legendre
import time:     49078 |      49078 |                 numpy.polynomial.polynomial
import time:      1905 |     371591 |               numpy.polynomial
import time:     43633 |      43633 |                 numpy.ctypeslib._ctypeslib
import time:      2493 |      46126 |               numpy.ctypeslib
import time:      1410 |       1410 |               numpy.rec
import time:      1451 |       1451 |                 numpy.fft._helper
import time:     26441 |      26441 |                   numpy.fft._pocketfft_umath
import time:     51434 |      77874 |                 numpy.fft._pocketfft
import time:     51208 |      51208 |                 numpy.fft.helper
import time:      1273 |     131805 |               numpy.fft
import time:     23221 |      23221 |                 scipy._lib.array_api_compat._internal
import time:     49348 |      49348 |                 scipy._lib.array_api_compat.common._aliases
import time:      1108 |       1108 |                   scipy._lib.array_api_compat.numpy._typing
import time:      1577 |       2685 |                 scipy._lib.array_api_compat.numpy._info
import time:     34750 |     110001 |               scipy._lib.array_api_compat.numpy._aliases
import time:      3597 |       3597 |                 scipy._lib.array_api_compat.common._linalg
import time:     73031 |      76628 |               scipy._lib.array_api_compat.numpy.linalg
