Fri Apr 17 16:32:40 2026    docs\perf\flamegraph-startup-latest.cprofile.prof

         2592551 function calls (2547498 primitive calls) in 52.948 seconds

   Ordered by: cumulative time
   List reduced from 8136 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.631    2.631 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\projections\__init__.py:1(<module>)
        1    0.000    0.000    2.510    2.510 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\backends\backend_pdf.py:1(<module>)
        1    0.000    0.000    2.481    2.481 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\backends\_backend_pdf_ps.py:1(<module>)
        1    0.000    0.000    2.363    2.363 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\optimize\_linprog.py:1(<module>)
        1    0.002    0.002    2.282    2.282 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\fontTools\subset\__init__.py:1(<module>)
        1    0.000    0.000    2.230    2.230 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\customtkinter\__init__.py:1(<module>)
        1    0.000    0.000    2.187    2.187 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\customtkinter\windows\__init__.py:1(<module>)
        1    0.000    0.000    2.067    2.067 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\signal\_spline_filters.py:1(<module>)
        1    0.000    0.000    2.067    2.067 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\customtkinter\windows\ctk_tk.py:1(<module>)
        1    0.000    0.000    2.027    2.027 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\customtkinter\windows\widgets\__init__.py:1(<module>)
        1    0.000    0.000    2.025    2.025 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\signal\_signaltools.py:1(<module>)
     1636    0.078    0.000    2.012    0.001 <frozen importlib._bootstrap>:1243(_find_spec)
        1    0.000    0.000    1.969    1.969 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\optimize\_linprog_ip.py:1(<module>)
      106    0.014    0.000    1.952    0.018 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\artist.py:158(_update_set_signature_and_docstring)
        1    0.000    0.000    1.922    1.922 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\optimize\_linprog_util.py:1(<module>)
        1    0.000    0.000    1.921    1.921 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\image.py:1(<module>)
      105    0.001    0.000    1.906    0.018 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\artist.py:125(__init_subclass__)
        1    0.000    0.000    1.877    1.877 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\optimize\_remove_redundancy.py:1(<module>)
     1604    0.004    0.000    1.866    0.001 <frozen importlib._bootstrap_external>:1287(find_spec)
     1604    0.011    0.000    1.861    0.001 <frozen importlib._bootstrap_external>:1258(_get_spec)
        1    0.000    0.000    1.841    1.841 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\backend_bases.py:1(<module>)
        1    0.000    0.000    1.832    1.832 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\linalg\interpolative.py:1(<module>)
        1    0.000    0.000    1.765    1.765 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\fft\__init__.py:1(<module>)
